,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.,,,,,,,,,
8/14/2021,24.9 °C,11.2 °C,0.7 °C,7.2 °C,2.4 °C,-2.2 °C,84 %,59 %,27 %,15.1 km/h,3.1 km/h,0.0 km/h,"1,007.76 hPa","1,002.51 hPa",0.00 mm
8/15/2021,22.7 °C,11.9 °C,3.4 °C,8.2 °C,3.1 °C,-0.2 °C,85 %,58 %,32 %,17.5 km/h,5.2 km/h,0.0 km/h,"1,004.20 hPa",996.89 hPa,0.00 mm
8/16/2021,25.5 °C,16.4 °C,6.9 °C,13.9 °C,9.5 °C,3.3 °C,99 %,66 %,47 %,29.9 km/h,11.1 km/h,0.0 km/h,997.19 hPa,988.86 hPa,0.00 mm
8/17/2021,31.7 °C,19.3 °C,10.3 °C,16.8 °C,12.8 °C,7.7 °C,99 %,70 %,36 %,20.9 km/h,5.8 km/h,0.0 km/h,994.68 hPa,990.38 hPa,0.00 mm
8/19/2021,35.2 °C,29.5 °C,20.9 °C,16.1 °C,14.6 °C,12.3 °C,78 %,69 %,32 %,6.0 km/h,3.8 km/h,2.7 km/h,986.39 hPa,986.39 hPa,0.00 mm
8/26/2021,23.6 °C,18.5 °C,0.0 °C,4.0 °C,0.2 °C,-2.8 °C,68 %,32 %,0 %,29.9 km/h,15.6 km/h,3.2 km/h,"1,001.39 hPa",851.00 hPa,0.00 mm
8/27/2021,24.4 °C,13.2 °C,4.6 °C,4.4 °C,1.4 °C,-2.3 °C,75 %,48 %,22 %,16.7 km/h,6.5 km/h,0.0 km/h,"1,003.76 hPa",999.49 hPa,0.00 mm
8/28/2021,28.0 °C,16.5 °C,7.9 °C,10.2 °C,6.4 °C,2.6 °C,79 %,54 %,28 %,22.2 km/h,7.3 km/h,0.0 km/h,"1,005.38 hPa",999.56 hPa,0.00 mm
8/29/2021,27.8 °C,18.1 °C,7.7 °C,13.3 °C,8.2 °C,3.4 °C,76 %,55 %,33 %,22.5 km/h,6.9 km/h,0.0 km/h,"1,006.57 hPa","1,000.07 hPa",0.00 mm
8/30/2021,30.6 °C,21.1 °C,9.9 °C,19.6 °C,13.8 °C,6.5 °C,99 %,64 %,49 %,29.6 km/h,11.4 km/h,0.0 km/h,"1,000.88 hPa",992.89 hPa,0.00 mm
8/31/2021,32.9 °C,25.1 °C,18.1 °C,18.5 °C,16.3 °C,13.6 °C,77 %,60 %,41 %,33.3 km/h,12.8 km/h,0.0 km/h,996.07 hPa,990.89 hPa,0.00 mm
9/1/2021,32.2 °C,24.0 °C,18.8 °C,19.9 °C,17.3 °C,14.3 °C,99 %,68 %,42 %,26.7 km/h,11.9 km/h,0.0 km/h,995.87 hPa,988.99 hPa,0.25 mm
9/2/2021,18.8 °C,16.4 °C,14.4 °C,18.6 °C,16.2 °C,14.2 °C,99 %,99 %,99 %,26.7 km/h,12.6 km/h,3.2 km/h,"1,004.00 hPa",995.19 hPa,1.50 mm
9/3/2021,19.1 °C,15.1 °C,13.4 °C,18.6 °C,14.9 °C,13.2 °C,99 %,99 %,95 %,15.1 km/h,6.2 km/h,0.0 km/h,"1,004.50 hPa",998.07 hPa,0.00 mm
9/4/2021,26.7 °C,18.0 °C,14.8 °C,21.9 °C,16.8 °C,14.4 °C,99 %,93 %,73 %,25.9 km/h,8.6 km/h,0.0 km/h,999.70 hPa,994.01 hPa,0.00 mm
9/5/2021,17.0 °C,15.3 °C,0.0 °C,14.7 °C,13.5 °C,10.4 °C,97 %,88 %,0 %,17.5 km/h,8.6 km/h,0.0 km/h,"1,000.37 hPa",997.70 hPa,0.00 mm
9/6/2021,26.0 °C,21.4 °C,15.0 °C,18.9 °C,17.0 °C,14.6 °C,99 %,77 %,63 %,24.1 km/h,12.1 km/h,3.2 km/h,"1,000.20 hPa",992.08 hPa,0.00 mm
9/7/2021,19.9 °C,16.8 °C,14.1 °C,18.4 °C,16.0 °C,13.9 °C,99 %,95 %,89 %,34.1 km/h,12.5 km/h,1.6 km/h,996.00 hPa,991.74 hPa,0.00 mm
9/8/2021,18.4 °C,14.6 °C,11.6 °C,15.8 °C,9.6 °C,7.9 °C,98 %,72 %,57 %,50.1 km/h,28.4 km/h,6.0 km/h,"1,001.56 hPa",993.57 hPa,14.48 mm
9/9/2021,14.1 °C,11.6 °C,10.2 °C,9.1 °C,8.2 °C,7.4 °C,88 %,78 %,47 %,43.3 km/h,23.8 km/h,9.7 km/h,"1,004.00 hPa","1,000.58 hPa",1.02 mm
9/10/2021,--,--,--,--,--,--,99 %,81 %,36 %,--,--,--,--,--,--
9/11/2021,21.1 °C,18.7 °C,17.1 °C,11.5 °C,11.0 °C,10.4 °C,99 %,65 %,39 %,24.1 km/h,14.9 km/h,7.4 km/h,990.55 hPa,988.76 hPa,0.00 mm
9/12/2021,35.1 °C,22.7 °C,12.1 °C,15.8 °C,11.1 °C,4.2 °C,87 %,54 %,16 %,35.7 km/h,13.6 km/h,0.0 km/h,990.99 hPa,985.88 hPa,0.00 mm
9/13/2021,21.0 °C,15.5 °C,12.9 °C,13.9 °C,7.9 °C,3.9 °C,78 %,61 %,51 %,50.7 km/h,28.9 km/h,12.9 km/h,"1,003.69 hPa",990.99 hPa,3.78 mm
9/14/2021,23.3 °C,14.3 °C,6.0 °C,4.4 °C,0.5 °C,-4.1 °C,69 %,44 %,18 %,28.3 km/h,11.6 km/h,0.0 km/h,"1,005.86 hPa","1,002.37 hPa",0.00 mm
9/15/2021,24.5 °C,14.1 °C,2.2 °C,6.0 °C,0.3 °C,-2.2 °C,81 %,44 %,19 %,22.2 km/h,6.4 km/h,0.0 km/h,"1,007.48 hPa","1,003.39 hPa",0.00 mm
9/16/2021,26.7 °C,16.9 °C,5.9 °C,7.3 °C,2.7 °C,-0.8 °C,78 %,44 %,18 %,22.2 km/h,7.5 km/h,0.0 km/h,"1,009.69 hPa","1,002.51 hPa",0.00 mm
9/17/2021,29.5 °C,18.8 °C,7.6 °C,10.8 °C,5.7 °C,0.8 °C,85 %,47 %,17 %,20.4 km/h,7.7 km/h,0.0 km/h,"1,003.69 hPa",995.19 hPa,0.00 mm
9/18/2021,29.6 °C,20.6 °C,10.6 °C,18.3 °C,13.3 °C,6.6 °C,87 %,65 %,47 %,24.1 km/h,7.1 km/h,0.0 km/h,998.51 hPa,991.70 hPa,0.00 mm
9/19/2021,29.3 °C,20.7 °C,12.8 °C,21.0 °C,17.0 °C,12.6 °C,99 %,81 %,59 %,22.5 km/h,6.5 km/h,0.0 km/h,995.50 hPa,988.39 hPa,0.00 mm
9/20/2021,21.4 °C,17.8 °C,13.6 °C,17.7 °C,14.9 °C,10.9 °C,99 %,84 %,67 %,41.5 km/h,19.9 km/h,4.8 km/h,"1,009.55 hPa",993.87 hPa,0.51 mm
9/21/2021,22.8 °C,15.3 °C,10.3 °C,11.2 °C,5.0 °C,-2.1 °C,90 %,57 %,23 %,22.2 km/h,9.0 km/h,0.0 km/h,"1,013.07 hPa","1,006.74 hPa",0.00 mm
9/22/2021,22.2 °C,15.4 °C,11.3 °C,9.1 °C,6.5 °C,3.4 °C,83 %,56 %,37 %,20.9 km/h,10.0 km/h,2.7 km/h,"1,007.69 hPa","1,000.20 hPa",0.00 mm
9/23/2021,25.7 °C,15.2 °C,6.1 °C,14.8 °C,8.1 °C,4.5 °C,99 %,69 %,30 %,20.9 km/h,7.2 km/h,0.0 km/h,"1,006.87 hPa","1,003.25 hPa",0.00 mm
9/24/2021,28.4 °C,17.6 °C,6.8 °C,12.9 °C,9.2 °C,4.6 °C,87 %,61 %,34 %,20.4 km/h,5.2 km/h,0.0 km/h,"1,007.18 hPa","1,001.76 hPa",0.00 mm
9/25/2021,27.7 °C,19.4 °C,10.0 °C,15.6 °C,11.6 °C,7.9 °C,96 %,63 %,38 %,29.9 km/h,13.2 km/h,0.0 km/h,"1,003.56 hPa",993.06 hPa,0.00 mm
9/26/2021,35.1 °C,21.7 °C,11.3 °C,14.5 °C,11.1 °C,5.8 °C,99 %,56 %,24 %,24.1 km/h,8.5 km/h,0.0 km/h,998.98 hPa,994.55 hPa,0.00 mm
9/28/2021,16.9 °C,15.6 °C,14.5 °C,13.7 °C,13.3 °C,9.3 °C,90 %,86 %,71 %,16.7 km/h,8.6 km/h,0.0 km/h,"1,002.88 hPa","1,000.75 hPa",0.00 mm
9/29/2021,26.9 °C,19.1 °C,12.8 °C,18.3 °C,14.5 °C,12.6 °C,99 %,78 %,44 %,26.7 km/h,9.7 km/h,0.0 km/h,"1,003.01 hPa",992.69 hPa,0.00 mm
9/30/2021,30.9 °C,20.7 °C,13.1 °C,22.0 °C,16.0 °C,8.2 °C,99 %,76 %,49 %,54.1 km/h,14.5 km/h,0.0 km/h,999.70 hPa,987.67 hPa,3.30 mm
10/1/2021,28.4 °C,19.1 °C,9.5 °C,8.6 °C,5.5 °C,2.4 °C,79 %,47 %,20 %,24.1 km/h,9.8 km/h,0.0 km/h,"1,000.24 hPa",994.07 hPa,0.00 mm
10/2/2021,32.5 °C,19.9 °C,13.2 °C,18.8 °C,9.0 °C,0.8 °C,77 %,51 %,34 %,50.1 km/h,13.8 km/h,0.0 km/h,999.19 hPa,986.86 hPa,3.56 mm
10/3/2021,24.1 °C,15.2 °C,9.4 °C,3.3 °C,0.0 °C,-2.7 °C,59 %,37 %,19 %,29.9 km/h,9.4 km/h,0.0 km/h,"1,003.49 hPa",998.07 hPa,0.00 mm
10/4/2021,28.7 °C,16.3 °C,4.2 °C,3.3 °C,0.5 °C,-2.1 °C,70 %,39 %,15 %,20.9 km/h,6.1 km/h,0.0 km/h,"1,003.69 hPa",997.70 hPa,0.00 mm
10/5/2021,27.1 °C,18.3 °C,7.2 °C,7.9 °C,5.2 °C,0.7 °C,80 %,46 %,27 %,29.6 km/h,12.3 km/h,0.0 km/h,"1,000.07 hPa",991.57 hPa,0.00 mm
10/6/2021,21.8 °C,15.2 °C,9.2 °C,8.1 °C,5.1 °C,1.9 °C,74 %,53 %,33 %,43.3 km/h,16.7 km/h,0.0 km/h,"1,007.38 hPa",994.99 hPa,2.29 mm
10/7/2021,24.5 °C,16.2 °C,7.6 °C,6.7 °C,4.0 °C,1.1 °C,65 %,46 %,29 %,24.1 km/h,9.9 km/h,0.0 km/h,"1,007.25 hPa",997.36 hPa,0.00 mm
10/8/2021,25.4 °C,18.3 °C,13.5 °C,7.9 °C,5.5 °C,3.7 °C,58 %,45 %,30 %,24.1 km/h,8.8 km/h,0.0 km/h,"1,001.56 hPa",994.89 hPa,0.00 mm
10/9/2021,28.1 °C,19.5 °C,9.4 °C,12.2 °C,8.1 °C,5.0 °C,80 %,51 %,27 %,28.3 km/h,9.1 km/h,0.0 km/h,"1,001.86 hPa",996.68 hPa,0.00 mm
10/10/2021,24.2 °C,18.1 °C,13.5 °C,19.3 °C,15.9 °C,11.6 °C,99 %,88 %,66 %,20.4 km/h,7.7 km/h,0.0 km/h,"1,002.07 hPa",996.89 hPa,4.57 mm
10/11/2021,31.2 °C,20.5 °C,11.8 °C,20.4 °C,14.1 °C,11.6 °C,99 %,72 %,36 %,16.7 km/h,5.7 km/h,0.0 km/h,"1,001.76 hPa",996.00 hPa,0.00 mm
10/12/2021,31.8 °C,22.8 °C,13.1 °C,16.8 °C,13.7 °C,11.2 °C,92 %,59 %,34 %,24.1 km/h,9.0 km/h,0.0 km/h,998.07 hPa,988.25 hPa,0.00 mm
10/13/2021,27.2 °C,19.7 °C,14.5 °C,21.7 °C,16.8 °C,13.4 °C,99 %,85 %,61 %,35.7 km/h,12.1 km/h,0.0 km/h,994.51 hPa,984.86 hPa,36.58 mm
10/14/2021,28.1 °C,15.5 °C,9.3 °C,21.1 °C,13.0 °C,7.7 °C,99 %,86 %,44 %,54.1 km/h,13.0 km/h,0.0 km/h,"1,002.51 hPa",986.25 hPa,28.96 mm
10/15/2021,25.1 °C,16.0 °C,9.3 °C,9.6 °C,3.1 °C,-2.8 °C,99 %,49 %,17 %,22.5 km/h,8.8 km/h,0.0 km/h,"1,007.89 hPa","1,002.00 hPa",0.30 mm
10/16/2021,24.9 °C,16.4 °C,8.9 °C,9.3 °C,5.4 °C,2.4 °C,69 %,50 %,31 %,22.5 km/h,7.4 km/h,0.0 km/h,"1,007.69 hPa","1,002.07 hPa",0.00 mm
10/17/2021,28.6 °C,17.1 °C,0.0 °C,10.3 °C,5.5 °C,1.9 °C,83 %,51 %,0 %,20.4 km/h,5.7 km/h,0.0 km/h,"1,004.67 hPa",999.49 hPa,0.00 mm
10/18/2021,30.8 °C,20.6 °C,11.1 °C,10.7 °C,7.7 °C,4.1 °C,78 %,48 %,22 %,16.7 km/h,4.7 km/h,0.0 km/h,"1,006.74 hPa","1,001.69 hPa",0.00 mm
10/19/2021,32.3 °C,21.9 °C,14.5 °C,12.4 °C,7.4 °C,2.1 °C,71 %,43 %,17 %,22.5 km/h,6.5 km/h,0.0 km/h,"1,004.57 hPa",999.26 hPa,0.00 mm
10/20/2021,31.3 °C,22.6 °C,11.7 °C,13.8 °C,8.5 °C,3.6 °C,85 %,45 %,20 %,29.9 km/h,10.3 km/h,0.0 km/h,"1,001.19 hPa",995.36 hPa,0.00 mm
10/21/2021,31.2 °C,23.5 °C,12.4 °C,13.8 °C,10.3 °C,5.2 °C,88 %,46 %,25 %,31.5 km/h,10.8 km/h,0.0 km/h,999.19 hPa,992.38 hPa,0.00 mm
10/22/2021,31.7 °C,22.6 °C,13.5 °C,17.6 °C,12.4 °C,9.7 °C,99 %,57 %,29 %,34.1 km/h,12.7 km/h,0.0 km/h,994.24 hPa,983.37 hPa,1.02 mm
10/23/2021,26.2 °C,18.5 °C,12.8 °C,18.6 °C,13.6 °C,9.5 °C,99 %,77 %,43 %,33.3 km/h,13.6 km/h,0.0 km/h,998.07 hPa,990.01 hPa,6.10 mm
10/24/2021,33.0 °C,20.7 °C,8.7 °C,11.1 °C,6.2 °C,1.4 °C,87 %,46 %,15 %,22.2 km/h,6.6 km/h,0.0 km/h,"1,002.00 hPa",996.24 hPa,0.00 mm
10/25/2021,41.4 °C,26.0 °C,13.3 °C,11.1 °C,7.2 °C,0.7 °C,78 %,38 %,9 %,26.7 km/h,11.2 km/h,0.0 km/h,996.51 hPa,993.26 hPa,0.00 mm
10/26/2021,40.6 °C,28.2 °C,15.8 °C,12.7 °C,8.9 °C,1.7 °C,71 %,37 %,10 %,29.9 km/h,11.2 km/h,0.0 km/h,997.19 hPa,992.89 hPa,0.00 mm
10/27/2021,36.1 °C,26.8 °C,14.4 °C,16.3 °C,11.9 °C,6.7 °C,90 %,46 %,18 %,26.7 km/h,10.0 km/h,0.0 km/h,"1,000.20 hPa",996.89 hPa,0.00 mm
10/29/2021,38.5 °C,32.0 °C,0.0 °C,15.0 °C,12.7 °C,-5.0 °C,43 %,32 %,0 %,20.4 km/h,8.5 km/h,0.0 km/h,996.51 hPa,992.25 hPa,0.00 mm
10/30/2021,40.3 °C,30.0 °C,18.6 °C,20.1 °C,15.9 °C,11.4 °C,66 %,45 %,24 %,19.2 km/h,5.9 km/h,0.0 km/h,995.50 hPa,991.57 hPa,0.00 mm
10/31/2021,28.4 °C,19.7 °C,13.9 °C,18.8 °C,13.8 °C,10.9 °C,84 %,70 %,52 %,40.7 km/h,20.7 km/h,1.6 km/h,"1,002.00 hPa",995.19 hPa,0.25 mm
11/1/2021,20.3 °C,14.9 °C,12.2 °C,19.8 °C,14.5 °C,10.7 °C,99 %,98 %,82 %,29.9 km/h,13.7 km/h,1.6 km/h,"1,002.24 hPa",997.56 hPa,13.46 mm
11/2/2021,24.8 °C,17.7 °C,13.7 °C,19.9 °C,16.4 °C,13.6 °C,99 %,93 %,72 %,22.2 km/h,7.7 km/h,0.0 km/h,"1,002.00 hPa",996.38 hPa,0.00 mm
11/3/2021,27.4 °C,16.0 °C,12.4 °C,20.7 °C,14.8 °C,12.2 °C,99 %,90 %,44 %,11.1 km/h,1.2 km/h,0.0 km/h,998.38 hPa,994.75 hPa,0.00 mm
11/4/2021,27.3 °C,12.3 °C,12.3 °C,18.1 °C,12.1 °C,12.1 °C,99 %,94 %,57 %,22.5 km/h,22.2 km/h,9.3 km/h,994.75 hPa,994.68 hPa,0.00 mm
11/5/2021,17.9 °C,13.7 °C,12.3 °C,12.3 °C,10.4 °C,6.4 °C,99 %,82 %,49 %,27.8 km/h,17.7 km/h,1.6 km/h,"1,008.26 hPa",994.68 hPa,0.00 mm
11/6/2021,26.3 °C,17.3 °C,11.1 °C,13.2 °C,9.1 °C,6.6 °C,76 %,60 %,37 %,16.7 km/h,7.8 km/h,0.0 km/h,"1,008.26 hPa","1,001.19 hPa",0.00 mm
11/7/2021,33.4 °C,22.3 °C,12.9 °C,16.7 °C,13.3 °C,9.3 °C,81 %,60 %,33 %,13.0 km/h,4.1 km/h,0.0 km/h,"1,003.25 hPa",995.87 hPa,0.00 mm
11/8/2021,34.0 °C,24.0 °C,15.8 °C,19.4 °C,17.0 °C,14.8 °C,99 %,68 %,37 %,16.7 km/h,4.2 km/h,0.0 km/h,"1,000.07 hPa",995.19 hPa,0.00 mm
11/9/2021,29.0 °C,20.0 °C,16.1 °C,18.4 °C,16.5 °C,13.0 °C,99 %,83 %,42 %,42.6 km/h,8.5 km/h,0.0 km/h,"1,001.49 hPa",995.26 hPa,10.92 mm
11/10/2021,32.0 °C,22.1 °C,0.0 °C,20.8 °C,16.9 °C,13.7 °C,99 %,74 %,0 %,22.2 km/h,6.5 km/h,0.0 km/h,"1,000.37 hPa",996.00 hPa,0.00 mm
11/11/2021,33.0 °C,24.3 °C,16.1 °C,16.8 °C,15.0 °C,11.0 °C,96 %,61 %,28 %,22.2 km/h,8.1 km/h,0.0 km/h,"1,003.18 hPa",997.70 hPa,0.00 mm
11/13/2021,17.7 °C,17.3 °C,0.0 °C,17.6 °C,17.1 °C,16.9 °C,99 %,99 %,0 %,37.0 km/h,19.6 km/h,0.0 km/h,"1,000.00 hPa",989.74 hPa,3.05 mm
11/14/2021,32.8 °C,22.7 °C,14.9 °C,17.3 °C,12.7 °C,5.1 °C,99 %,61 %,20 %,20.4 km/h,9.6 km/h,0.0 km/h,999.87 hPa,992.99 hPa,0.00 mm
11/15/2021,30.9 °C,23.4 °C,16.1 °C,20.6 °C,16.4 °C,10.2 °C,80 %,66 %,51 %,24.1 km/h,8.3 km/h,0.0 km/h,995.87 hPa,988.05 hPa,0.00 mm
11/16/2021,22.0 °C,17.5 °C,13.9 °C,18.2 °C,9.7 °C,6.8 °C,82 %,61 %,47 %,51.8 km/h,22.5 km/h,0.0 km/h,"1,006.57 hPa",993.74 hPa,8.89 mm
11/17/2021,28.6 °C,18.5 °C,9.3 °C,9.4 °C,6.0 °C,2.4 °C,79 %,48 %,20 %,16.7 km/h,7.3 km/h,0.0 km/h,"1,006.57 hPa",996.89 hPa,0.00 mm
11/18/2021,34.0 °C,21.2 °C,9.7 °C,12.1 °C,8.7 °C,4.7 °C,80 %,48 %,22 %,20.9 km/h,6.0 km/h,0.0 km/h,998.51 hPa,993.57 hPa,0.00 mm
11/19/2021,36.2 °C,25.3 °C,13.1 °C,13.8 °C,9.0 °C,2.6 °C,78 %,41 %,16 %,19.2 km/h,6.6 km/h,0.0 km/h,999.19 hPa,994.68 hPa,0.00 mm
11/20/2021,35.4 °C,26.1 °C,15.0 °C,15.7 °C,12.2 °C,8.9 °C,86 %,47 %,21 %,27.8 km/h,10.0 km/h,0.0 km/h,998.17 hPa,993.26 hPa,0.00 mm
11/21/2021,37.3 °C,27.3 °C,16.0 °C,15.4 °C,13.3 °C,10.1 °C,91 %,48 %,24 %,25.9 km/h,9.7 km/h,0.0 km/h,996.00 hPa,988.86 hPa,0.00 mm
11/22/2021,43.0 °C,30.0 °C,18.4 °C,17.3 °C,14.6 °C,11.8 °C,82 %,45 %,17 %,28.3 km/h,6.8 km/h,0.0 km/h,995.73 hPa,988.25 hPa,0.00 mm
11/23/2021,33.7 °C,25.8 °C,20.2 °C,13.6 °C,11.2 °C,9.2 °C,62 %,42 %,23 %,22.5 km/h,10.0 km/h,0.0 km/h,"1,002.51 hPa",995.56 hPa,0.00 mm
11/24/2021,36.1 °C,26.1 °C,18.8 °C,18.4 °C,15.0 °C,10.9 °C,76 %,53 %,34 %,33.3 km/h,12.5 km/h,0.0 km/h,996.75 hPa,987.57 hPa,0.00 mm
11/25/2021,32.9 °C,27.0 °C,0.0 °C,20.9 °C,16.2 °C,-2.7 °C,99 %,56 %,0 %,39.1 km/h,17.8 km/h,0.0 km/h,995.36 hPa,987.57 hPa,21.34 mm
11/26/2021,37.8 °C,26.1 °C,15.2 °C,18.9 °C,15.5 °C,11.4 °C,99 %,58 %,23 %,16.7 km/h,5.3 km/h,0.0 km/h,996.38 hPa,989.57 hPa,0.00 mm
11/27/2021,34.4 °C,26.1 °C,17.5 °C,20.6 °C,16.1 °C,13.3 °C,99 %,57 %,30 %,43.3 km/h,11.3 km/h,0.0 km/h,993.26 hPa,985.57 hPa,40.13 mm
11/28/2021,28.7 °C,21.2 °C,14.9 °C,19.6 °C,14.5 °C,11.2 °C,99 %,70 %,38 %,51.8 km/h,15.5 km/h,0.0 km/h,995.50 hPa,991.74 hPa,27.43 mm
11/29/2021,34.4 °C,24.1 °C,14.6 °C,15.5 °C,10.8 °C,5.2 °C,82 %,49 %,18 %,19.2 km/h,6.4 km/h,0.0 km/h,994.89 hPa,989.88 hPa,0.00 mm
11/30/2021,34.6 °C,25.4 °C,14.9 °C,16.1 °C,11.5 °C,6.4 °C,85 %,47 %,19 %,20.4 km/h,7.1 km/h,0.0 km/h,994.75 hPa,988.99 hPa,0.00 mm
12/1/2021,34.1 °C,24.9 °C,17.6 °C,18.5 °C,15.7 °C,13.3 °C,84 %,59 %,36 %,26.7 km/h,6.7 km/h,0.0 km/h,996.51 hPa,992.01 hPa,0.00 mm
12/2/2021,34.9 °C,26.5 °C,18.4 °C,18.7 °C,15.5 °C,13.3 °C,73 %,54 %,33 %,18.5 km/h,9.2 km/h,0.0 km/h,997.77 hPa,992.89 hPa,0.00 mm
12/3/2021,32.6 °C,27.7 °C,24.9 °C,17.8 °C,13.2 °C,11.6 °C,63 %,41 %,33 %,24.1 km/h,9.8 km/h,3.2 km/h,996.00 hPa,992.52 hPa,0.00 mm
12/4/2021,34.1 °C,25.8 °C,21.0 °C,17.8 °C,15.6 °C,13.4 °C,72 %,55 %,31 %,15.1 km/h,5.6 km/h,0.0 km/h,"1,001.76 hPa",995.73 hPa,0.00 mm
12/5/2021,32.1 °C,24.9 °C,18.4 °C,20.1 °C,17.7 °C,15.3 °C,89 %,66 %,46 %,16.7 km/h,7.7 km/h,0.0 km/h,"1,003.25 hPa","1,000.24 hPa",0.00 mm
12/6/2021,35.3 °C,25.5 °C,18.0 °C,19.6 °C,17.2 °C,15.0 °C,87 %,63 %,38 %,17.5 km/h,5.7 km/h,0.0 km/h,"1,003.69 hPa",998.68 hPa,0.00 mm
12/7/2021,34.5 °C,27.1 °C,18.8 °C,17.6 °C,15.3 °C,14.1 °C,76 %,51 %,33 %,24.1 km/h,11.4 km/h,0.0 km/h,"1,001.56 hPa",994.07 hPa,0.00 mm
12/8/2021,38.8 °C,28.4 °C,21.2 °C,18.1 °C,13.7 °C,10.3 °C,64 %,43 %,24 %,22.2 km/h,10.6 km/h,0.0 km/h,999.39 hPa,995.06 hPa,0.00 mm
12/9/2021,30.7 °C,24.2 °C,20.7 °C,20.2 °C,17.1 °C,11.8 °C,86 %,66 %,44 %,24.1 km/h,10.0 km/h,1.6 km/h,999.26 hPa,996.00 hPa,0.00 mm
12/10/2021,22.9 °C,20.3 °C,18.9 °C,22.3 °C,19.8 °C,16.0 °C,99 %,97 %,73 %,16.7 km/h,5.8 km/h,0.0 km/h,997.36 hPa,992.08 hPa,9.40 mm
12/11/2021,32.5 °C,24.8 °C,18.1 °C,22.8 °C,18.5 °C,15.8 °C,99 %,72 %,41 %,22.2 km/h,8.3 km/h,0.0 km/h,993.19 hPa,983.88 hPa,0.00 mm
12/12/2021,33.9 °C,23.7 °C,18.7 °C,20.5 °C,18.5 °C,16.7 °C,99 %,75 %,44 %,44.4 km/h,11.0 km/h,0.0 km/h,993.50 hPa,984.25 hPa,11.43 mm
12/13/2021,30.3 °C,22.0 °C,18.0 °C,22.4 °C,19.1 °C,17.2 °C,99 %,86 %,50 %,17.5 km/h,6.7 km/h,0.0 km/h,997.05 hPa,991.26 hPa,0.00 mm
12/14/2021,37.1 °C,25.6 °C,18.3 °C,21.7 °C,18.2 °C,14.6 °C,88 %,67 %,36 %,31.5 km/h,6.5 km/h,0.0 km/h,999.26 hPa,992.55 hPa,0.00 mm
12/15/2021,34.5 °C,24.2 °C,16.6 °C,19.3 °C,16.1 °C,14.7 °C,90 %,64 %,36 %,22.5 km/h,8.7 km/h,0.0 km/h,"1,000.58 hPa",994.99 hPa,0.00 mm
12/16/2021,35.7 °C,26.8 °C,18.2 °C,18.6 °C,14.8 °C,11.9 °C,76 %,51 %,27 %,22.2 km/h,7.7 km/h,0.0 km/h,999.70 hPa,995.06 hPa,0.00 mm
12/17/2021,36.8 °C,26.9 °C,17.3 °C,19.3 °C,15.1 °C,11.6 °C,86 %,53 %,23 %,20.9 km/h,8.7 km/h,0.0 km/h,"1,000.37 hPa",994.51 hPa,0.00 mm
12/18/2021,36.3 °C,28.6 °C,20.1 °C,19.6 °C,16.6 °C,13.2 °C,67 %,50 %,33 %,22.5 km/h,7.9 km/h,0.0 km/h,997.87 hPa,992.08 hPa,0.00 mm
12/19/2021,40.6 °C,30.6 °C,21.5 °C,21.4 °C,18.3 °C,16.3 °C,73 %,51 %,28 %,20.9 km/h,6.5 km/h,0.0 km/h,995.06 hPa,989.67 hPa,0.00 mm
12/20/2021,42.0 °C,35.0 °C,26.6 °C,20.7 °C,17.1 °C,15.2 °C,60 %,36 %,24 %,20.4 km/h,8.6 km/h,0.0 km/h,997.19 hPa,988.01 hPa,0.00 mm
12/21/2021,40.5 °C,29.4 °C,20.7 °C,22.3 °C,19.2 °C,15.6 °C,82 %,57 %,31 %,40.7 km/h,10.3 km/h,0.0 km/h,995.26 hPa,987.23 hPa,0.76 mm
12/22/2021,38.3 °C,30.5 °C,22.1 °C,23.8 °C,18.0 °C,13.9 °C,99 %,54 %,27 %,22.2 km/h,9.6 km/h,0.0 km/h,996.68 hPa,992.25 hPa,1.78 mm
12/23/2021,38.9 °C,33.7 °C,26.7 °C,15.6 °C,13.8 °C,11.1 °C,39 %,31 %,24 %,18.5 km/h,9.1 km/h,0.0 km/h,998.00 hPa,992.89 hPa,0.00 mm
12/24/2021,39.8 °C,29.8 °C,20.3 °C,14.2 °C,12.1 °C,10.1 °C,67 %,37 %,19 %,25.9 km/h,9.3 km/h,0.0 km/h,994.75 hPa,990.08 hPa,0.00 mm
12/25/2021,40.1 °C,30.4 °C,21.3 °C,13.9 °C,10.8 °C,6.4 °C,57 %,33 %,15 %,22.5 km/h,10.0 km/h,0.0 km/h,996.24 hPa,992.18 hPa,0.00 mm
12/26/2021,41.2 °C,30.5 °C,20.2 °C,16.6 °C,11.6 °C,6.2 °C,55 %,34 %,17 %,17.5 km/h,7.1 km/h,0.0 km/h,998.58 hPa,992.01 hPa,0.00 mm
12/27/2021,42.5 °C,31.1 °C,19.7 °C,15.1 °C,8.6 °C,4.7 °C,57 %,27 %,11 %,19.2 km/h,4.7 km/h,0.0 km/h,994.89 hPa,990.18 hPa,0.00 mm
12/28/2021,41.9 °C,31.2 °C,20.3 °C,14.2 °C,9.5 °C,5.0 °C,58 %,29 %,13 %,26.7 km/h,6.0 km/h,0.0 km/h,994.55 hPa,991.37 hPa,0.00 mm
